gp_id,gp_label,site_name,patient_count,rec_count,poor_pcg_count,poor_ecg_count,murmur_flag_count,low_ef_flag_count,af_flag_count,assigned_rec_count,assigned_poor_pcg_count,assigned_poor_ecg_count,assigned_murmur_flag_count,assigned_low_ef_flag_count,assigned_af_flag_count
510,GP-510,St. George's Medical Center,64,94,2,9,4,9,0,68,1,3,3,7,0
511,GP-511,Oldfield Family Practice,0,0,0,0,0,0,0,0,0,0,0,0,0
512,GP-512,The Westway Surgery,0,123,13,12,5,12,12,0,0,0,0,0,0
513,GP-513,Randolph Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
514,GP-514,Perivale Medical Clinic,1,59,1,10,4,4,4,1,0,0,0,0,0
515,GP-515,Premier Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
516,GP-516,Half Penny Steps Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0
517,GP-517,Golbourne Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
518,GP-518,Randolph Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
519,GP-519,Great Chapel Street Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
520,GP-520,Willesden Green Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
521,GP-521,Spring Grove Medical Practice,0,8,0,3,0,0,0,0,0,0,0,0,0
522,GP-522,Brook Green Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
523,GP-523,Meadow View Surgery,1,39,0,2,2,5,0,1,0,0,0,0,0
524,GP-524,Roxbourne Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
525,GP-525,Kings Road Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
526,GP-526,Civic Medical Centre,3,3,0,0,0,0,0,3,0,0,0,0,0
527,GP-527,Mapesbury Medical Group,0,282,9,37,99,99,47,0,0,0,0,0,0
528,GP-528,High Street Surgery,19,31,1,4,2,6,0,20,0,0,1,2,0
529,GP-529,Honeypot Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
530,GP-530,Randolph Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
